1,Real-time Specification for Java,The Real-Time Specification for Java extends the JavaTM platform to support both current practice and advanced real-time systems application programming.,Final,,Final Release 3,2006/7/12,,,James J. Hunt aicas GmbH,,
2,Boundary-Scan API,This API targeted the JavaCardTM platform so as to allow it to be usable on all available JavaTM virtual machines from the very smallest to the most sophisticated.,Withdrawn,Withdrawn at the request of the submitter.,Withdrawn,,,1999/1/9,Neil Jacobson Xilinx,Harold Ogle Oracle,
3,JavaTM Management Extensions (JMXTM) Specification,The JMXTM specification will provide a management architecture APIs and services for building Web-based distributed dynamic and modular solutions to manage Java enabled resources.,Withdrawn,Withdrawn following Maintenance Review 6.,Withdrawn,,,2014/3/5,Staffan Larsen Oracle,Hinkmond Wong Oracle,
4,ECperf Benchmark Specification,ECperf is an EJBTM performance workload that is real-world scalable and captures the essence of why component models exist.,Maintenance,,Maintenance Draft Review 2,2002/3/19,2002/4/22,,Shanti Subramanyam Sun Microsystems Inc.,,
5,XML Parsing Specification,The JavaTM API for XML Parsing (JAXP) allows developers to easily use XML Parsers in their applications via the industry standard SAX and DOM APIs.,Final,,Final Release,2000/3/21,,,Rajiv Mordani Oracle,,
6,Unified Printing API (Java Print Service API),This unified Java Print API will be based on a print model that meets the requirements of the current Java 2 Print API and JiniTM Printing.,Final,,Final Release,2002/5/9,,,Robert Herriot Xerox,,
7,Industrial Automation Extension,The Industrial Automation specification will result in an industry standard for industrial automation that is based on the JavaTM and JiniTM technologies.,Withdrawn,Withdrawn with the consent of the Spec Lead. Difficulties in forming an expert group and reaching consensus toward a draft spec hampered the JSR's abilities in successfully navigating the community process.,Withdrawn,,,2004/10/11,Bruce Khavar Cyberonix,Tamsin Vantress Cyberonix,
8,Open Services Gateway Specification,This JSR was going to develop the Open Services Gateway (OSG) Specification and describe an extensible Service Gateway.,Withdrawn,Withdrawn because work moved to Open Services Gateway consortium (www.osgi.org) where the specification will be completed.,Withdrawn,,,1999/5/10,Robert Mines Sun Microsystems Inc.,,
9,Federated Management Architecture Specification,The Federated Management Architecture (FMA) specifies a storage management platform that will allow vendors to construct storage management applications from standard and custom components.,Maintenance,,Maintenance Draft Review,2000/8/18,2000/9/18,,William Connor Phd. Sun Microsystems Inc.,,
10,Preferences API Specification,A simple API allowing programs to manipulate user preference data and configuration data.,Final,,Final Release,2002/5/9,,,Joshua Bloch Sun Microsystems Inc.,,
11,JAINTM TCAP Specification,JAINTM TCAP JSR is a proposed Java specification for the TCAP layer of the Signaling System 7 (SS7) stack.,Final,,Final Release 2,2001/10/4,,,Phelim O'Doherty Sun Microsystems Inc.,,
12,JavaTM Data Objects (JDO) Specification,The JDO specification provides for interface-based definitions of data stores and transactions; and selection and transformation of persistent storage data into native JavaTM programming language objects.,Maintenance,,Maintenance Draft Review 2,2004/10/25,2004/12/6,,Craig Russell Sun Microsystems Inc.,,
